episode,episode_reward,goal_reached,reason,max_steps
516,603.9988738139996,1,goal reached,39
517,345.70604031083724,1,goal reached,53
518,98.235250646135,1,goal reached,60
519,348.8582332820969,1,goal reached,50
520,363.05239376347834,1,goal reached,50
521,335.3991296780066,1,goal reached,53
522,348.93503528933866,1,goal reached,50
523,393.5360044829939,1,goal reached,49
524,351.6794703980188,1,goal reached,50
525,349.82405669924754,1,goal reached,50
526,603.9988738139996,1,goal reached,39
527,345.70604031083724,1,goal reached,53
528,98.235250646135,1,goal reached,60
529,348.8582332820969,1,goal reached,50
530,363.05239376347834,1,goal reached,50
531,335.3991296780066,1,goal reached,53
532,348.93503528933866,1,goal reached,50
533,393.5360044829939,1,goal reached,49
534,351.6794703980188,1,goal reached,50
535,349.82405669924754,1,goal reached,50
536,603.9988738139996,1,goal reached,39
537,345.70604031083724,1,goal reached,53
538,98.235250646135,1,goal reached,60
539,348.8582332820969,1,goal reached,50
540,363.05239376347834,1,goal reached,50
541,335.3991296780066,1,goal reached,53
542,348.93503528933866,1,goal reached,50
543,393.5360044829939,1,goal reached,49
544,351.6794703980188,1,goal reached,50
545,349.82405669924754,1,goal reached,50
546,603.9988738139996,1,goal reached,39
547,345.70604031083724,1,goal reached,53
548,98.235250646135,1,goal reached,60
549,348.8582332820969,1,goal reached,50
550,363.05239376347834,1,goal reached,50
551,335.3991296780066,1,goal reached,53
552,348.93503528933866,1,goal reached,50
553,393.5360044829939,1,goal reached,49
554,351.6794703980188,1,goal reached,50
555,349.82405669924754,1,goal reached,50
556,603.9988738139996,1,goal reached,39
557,345.70604031083724,1,goal reached,53
558,98.235250646135,1,goal reached,60
559,348.8582332820969,1,goal reached,50
560,363.05239376347834,1,goal reached,50
561,335.3991296780066,1,goal reached,53
562,348.93503528933866,1,goal reached,50
563,393.5360044829939,1,goal reached,49
564,351.6794703980188,1,goal reached,50
565,349.82405669924754,1,goal reached,50
566,603.9988738139996,1,goal reached,39
567,345.70604031083724,1,goal reached,53
568,98.235250646135,1,goal reached,60
569,348.8582332820969,1,goal reached,50
570,363.05239376347834,1,goal reached,50
571,335.3991296780066,1,goal reached,53
572,348.93503528933866,1,goal reached,50
573,393.5360044829939,1,goal reached,49
574,351.6794703980188,1,goal reached,50
575,349.82405669924754,1,goal reached,50
576,603.9988738139996,1,goal reached,39
577,345.70604031083724,1,goal reached,53
578,98.235250646135,1,goal reached,60
579,348.8582332820969,1,goal reached,50
580,363.05239376347834,1,goal reached,50
581,335.3991296780066,1,goal reached,53
582,348.93503528933866,1,goal reached,50
583,393.5360044829939,1,goal reached,49
584,351.6794703980188,1,goal reached,50
585,349.82405669924754,1,goal reached,50
586,603.9988738139996,1,goal reached,39
587,345.70604031083724,1,goal reached,53
588,98.235250646135,1,goal reached,60
589,348.8582332820969,1,goal reached,50
590,363.05239376347834,1,goal reached,50
591,335.3991296780066,1,goal reached,53
592,348.93503528933866,1,goal reached,50
593,393.5360044829939,1,goal reached,49
594,351.6794703980188,1,goal reached,50
595,349.82405669924754,1,goal reached,50
596,603.9988738139996,1,goal reached,39
597,345.70604031083724,1,goal reached,53
598,98.235250646135,1,goal reached,60
599,348.8582332820969,1,goal reached,50
600,363.05239376347834,1,goal reached,50
601,335.3991296780066,1,goal reached,53
602,348.93503528933866,1,goal reached,50
603,393.5360044829939,1,goal reached,49
604,351.6794703980188,1,goal reached,50
605,349.82405669924754,1,goal reached,50
606,603.9988738139996,1,goal reached,39
607,345.70604031083724,1,goal reached,53
608,98.235250646135,1,goal reached,60
609,348.8582332820969,1,goal reached,50
610,363.05239376347834,1,goal reached,50
611,335.3991296780066,1,goal reached,53
612,348.93503528933866,1,goal reached,50
613,393.5360044829939,1,goal reached,49
614,351.6794703980188,1,goal reached,50
615,349.82405669924754,1,goal reached,50
616,603.9988738139996,1,goal reached,39
617,345.70604031083724,1,goal reached,53
618,98.235250646135,1,goal reached,60
619,348.8582332820969,1,goal reached,50
620,363.05239376347834,1,goal reached,50
621,335.3991296780066,1,goal reached,53
622,348.93503528933866,1,goal reached,50
623,393.5360044829939,1,goal reached,49
624,351.6794703980188,1,goal reached,50
625,349.82405669924754,1,goal reached,50
626,603.9988738139996,1,goal reached,39
627,345.70604031083724,1,goal reached,53
628,98.235250646135,1,goal reached,60
629,348.8582332820969,1,goal reached,50
630,363.05239376347834,1,goal reached,50
631,335.3991296780066,1,goal reached,53
632,348.93503528933866,1,goal reached,50
633,393.5360044829939,1,goal reached,49
634,351.6794703980188,1,goal reached,50
635,349.82405669924754,1,goal reached,50
636,603.9988738139996,1,goal reached,39
637,345.70604031083724,1,goal reached,53
638,98.235250646135,1,goal reached,60
639,348.8582332820969,1,goal reached,50
